Country,year,sex,age,suicides_no,population,
Albania,2001,female,75+ years,2,47254,4.23E-05
Albania,2001,male,15-24 years,10,256039,3.91E-05
Albania,2001,male,25-34 years,22,206484,0.000106546
Albania,2001,male,35-54 years,34,378826,8.98E-05
Albania,2001,male,5-14 years,6,321556,1.87E-05
Albania,2001,male,55-74 years,11,196670,5.59E-05
Albania,2001,male,75+ years,1,31044,3.22E-05
Albania,2002,female,15-24 years,14,275970,5.07E-05
Albania,2002,female,25-34 years,7,223685,3.13E-05
Albania,2002,female,35-54 years,15,375113,4.00E-05
Albania,2002,female,5-14 years,1,304850,3.28E-06
Albania,2002,female,55-74 years,4,191712,2.09E-05
Albania,2002,female,75+ years,1,47407,2.11E-05
Albania,2002,male,15-24 years,15,263067,5.70E-05
Albania,2002,male,25-34 years,23,206286,0.000111496
Albania,2002,male,35-54 years,35,382139,9.16E-05
Albania,2002,male,5-14 years,1,319473,3.13E-06
Albania,2002,male,55-74 years,13,198130,6.56E-05
Albania,2002,male,75+ years,4,31007,0.000129003
Albania,2003,female,15-24 years,14,283709,4.93E-05
Albania,2003,female,25-34 years,9,222941,4.04E-05
Albania,2003,female,35-54 years,13,381760,3.41E-05
Albania,2003,female,5-14 years,0,298477,0
Albania,2003,female,55-74 years,9,195699,4.60E-05
Albania,2003,female,75+ years,6,49088,0.000122229
Albania,2003,male,15-24 years,15,273235,5.49E-05
Albania,2003,male,25-34 years,9,205433,4.38E-05
Albania,2003,male,35-54 years,28,386196,7.25E-05
Albania,2003,male,5-14 years,4,313204,1.28E-05
Albania,2003,male,55-74 years,16,201520,7.94E-05
Albania,2003,male,75+ years,1,32667,3.06E-05
Albania,2004,female,15-24 years,20,292268,6.84E-05
Albania,2004,female,25-34 years,11,222389,4.95E-05
Albania,2004,female,35-54 years,17,391436,4.34E-05
Albania,2004,female,5-14 years,3,286705,1.05E-05
Albania,2004,female,55-74 years,3,203841,1.47E-05
Albania,2004,female,75+ years,3,50970,5.89E-05
Albania,2004,male,15-24 years,19,286768,6.63E-05
Albania,2004,male,25-34 years,16,203938,7.85E-05
Albania,2004,male,35-54 years,39,391767,9.95E-05
Albania,2004,male,5-14 years,1,302181,3.31E-06
Albania,2004,male,55-74 years,10,207202,4.83E-05
Albania,2004,male,75+ years,4,35526,0.000112594
Albania,2005,female,15-24 years,0,281922,0
Albania,2005,female,25-34 years,0,190745,0
Albania,2005,female,35-54 years,0,386513,0
Albania,2005,female,5-14 years,0,276559,0
Albania,2005,female,55-74 years,0,210998,0
Albania,2005,female,75+ years,0,53191,0
Albania,2005,male,15-24 years,0,281675,0
Albania,2005,male,25-34 years,0,177519,0
Albania,2005,male,35-54 years,0,380242,0
Albania,2005,male,5-14 years,0,291367,0
Albania,2005,male,55-74 years,0,214118,0
Albania,2005,male,75+ years,0,38471,0
Albania,2006,female,15-24 years,0,283138,0
Albania,2006,female,25-34 years,0,186391,0
Albania,2006,female,35-54 years,0,388746,0
Albania,2006,female,5-14 years,0,267316,0
Albania,2006,female,55-74 years,0,215907,0
Albania,2006,female,75+ years,0,56011,0
Albania,2006,male,15-24 years,0,286679,0
Albania,2006,male,25-34 years,0,174092,0
Albania,2006,male,35-54 years,0,379076,0
Albania,2006,male,5-14 years,0,282678,0
Albania,2006,male,55-74 years,0,219360,0
Albania,2006,male,75+ years,0,40782,0
Albania,2007,female,15-24 years,13,281080,4.63E-05
Albania,2007,female,25-34 years,8,183629,4.36E-05
Albania,2007,female,35-54 years,14,391811,3.57E-05
Albania,2007,female,5-14 years,0,256808,0
Albania,2007,female,55-74 years,9,221120,4.07E-05
Albania,2007,female,75+ years,3,57404,5.23E-05
Albania,2007,male,15-24 years,13,288349,4.51E-05
Albania,2007,male,25-34 years,9,172494,5.22E-05
Albania,2007,male,35-54 years,29,378626,7.66E-05
Albania,2007,male,5-14 years,4,272497,1.47E-05
