Country,year,sex,age,suicides_no,population,
Bermuda,2005,male,35-54 years,3,,#DIV/0!
Bermuda,2005,male,5-14 years,0,,#DIV/0!
Bermuda,2005,male,55-74 years,0,,#DIV/0!
Bermuda,2005,male,75+ years,0,,#DIV/0!
Bermuda,2006,female,15-24 years,0,,#DIV/0!
Bermuda,2006,female,25-34 years,0,,#DIV/0!
Bermuda,2006,female,35-54 years,0,,#DIV/0!
Bermuda,2006,female,5-14 years,0,,#DIV/0!
Bermuda,2006,female,55-74 years,0,,#DIV/0!
Bermuda,2006,female,75+ years,0,,#DIV/0!
Bermuda,2006,male,15-24 years,0,,#DIV/0!
Bermuda,2006,male,25-34 years,0,,#DIV/0!
Bermuda,2006,male,35-54 years,0,,#DIV/0!
Bermuda,2006,male,5-14 years,0,,#DIV/0!
Bermuda,2006,male,55-74 years,1,,#DIV/0!
Bermuda,2006,male,75+ years,0,,#DIV/0!
Bermuda,2007,female,15-24 years,0,,#DIV/0!
Bermuda,2007,female,25-34 years,0,,#DIV/0!
Bermuda,2007,female,35-54 years,0,,#DIV/0!
Bermuda,2007,female,5-14 years,0,,#DIV/0!
Bermuda,2007,female,55-74 years,0,,#DIV/0!
Bermuda,2007,female,75+ years,1,,#DIV/0!
Bermuda,2007,male,15-24 years,0,,#DIV/0!
Bermuda,2007,male,25-34 years,0,,#DIV/0!
Bermuda,2007,male,35-54 years,0,,#DIV/0!
Bermuda,2007,male,5-14 years,0,,#DIV/0!
Bermuda,2007,male,55-74 years,0,,#DIV/0!
Bermuda,2007,male,75+ years,0,,#DIV/0!
Bermuda,2008,female,15-24 years,0,,#DIV/0!
Bermuda,2008,female,25-34 years,0,,#DIV/0!
Bermuda,2008,female,35-54 years,0,,#DIV/0!
Bermuda,2008,female,5-14 years,0,,#DIV/0!
Bermuda,2008,female,55-74 years,0,,#DIV/0!
Bermuda,2008,female,75+ years,0,,#DIV/0!
Bermuda,2008,male,15-24 years,0,,#DIV/0!
Bermuda,2008,male,25-34 years,0,,#DIV/0!
Bermuda,2008,male,35-54 years,1,,#DIV/0!
Bermuda,2008,male,5-14 years,0,,#DIV/0!
Bermuda,2008,male,55-74 years,0,,#DIV/0!
Bermuda,2008,male,75+ years,0,,#DIV/0!
Bermuda,2009,female,15-24 years,0,,#DIV/0!
Bermuda,2009,female,25-34 years,0,,#DIV/0!
Bermuda,2009,female,35-54 years,0,,#DIV/0!
Bermuda,2009,female,5-14 years,0,,#DIV/0!
Bermuda,2009,female,55-74 years,0,,#DIV/0!
Bermuda,2009,female,75+ years,0,,#DIV/0!
Bermuda,2009,male,15-24 years,0,,#DIV/0!
Bermuda,2009,male,25-34 years,1,,#DIV/0!
Bermuda,2009,male,35-54 years,1,,#DIV/0!
Bermuda,2009,male,5-14 years,0,,#DIV/0!
Bermuda,2009,male,55-74 years,1,,#DIV/0!
Bermuda,2009,male,75+ years,0,,#DIV/0!
Bermuda,2010,female,15-24 years,0,,#DIV/0!
Bermuda,2010,female,25-34 years,0,,#DIV/0!
Bermuda,2010,female,35-54 years,0,,#DIV/0!
Bermuda,2010,female,5-14 years,0,,#DIV/0!
Bermuda,2010,female,55-74 years,0,,#DIV/0!
Bermuda,2010,female,75+ years,0,,#DIV/0!
Bermuda,2010,male,15-24 years,0,,#DIV/0!
Bermuda,2010,male,25-34 years,0,,#DIV/0!
Bermuda,2010,male,35-54 years,2,,#DIV/0!
Bermuda,2010,male,5-14 years,0,,#DIV/0!
Bermuda,2010,male,55-74 years,1,,#DIV/0!
Bermuda,2010,male,75+ years,0,,#DIV/0!
Bermuda,2011,female,15-24 years,0,,#DIV/0!
Bermuda,2011,female,25-34 years,0,,#DIV/0!
Bermuda,2011,female,35-54 years,0,,#DIV/0!
Bermuda,2011,female,5-14 years,0,,#DIV/0!
Bermuda,2011,female,55-74 years,0,,#DIV/0!
Bermuda,2011,female,75+ years,0,,#DIV/0!
Bermuda,2011,male,15-24 years,0,,#DIV/0!
Bermuda,2011,male,25-34 years,0,,#DIV/0!
Bermuda,2011,male,35-54 years,0,,#DIV/0!
Bermuda,2011,male,5-14 years,0,,#DIV/0!
Bermuda,2011,male,55-74 years,0,,#DIV/0!
Bermuda,2011,male,75+ years,0,,#DIV/0!
Bermuda,2012,female,15-24 years,0,,#DIV/0!
Bermuda,2012,female,25-34 years,0,,#DIV/0!
Bermuda,2012,female,35-54 years,1,,#DIV/0!
Bermuda,2012,female,5-14 years,0,,#DIV/0!
Bermuda,2012,female,55-74 years,0,,#DIV/0!
Bermuda,2012,female,75+ years,0,,#DIV/0!
Bermuda,2012,male,15-24 years,1,,#DIV/0!
Bermuda,2012,male,25-34 years,0,,#DIV/0!
Bermuda,2012,male,35-54 years,0,,#DIV/0!
Bermuda,2012,male,5-14 years,0,,#DIV/0!
Bermuda,2012,male,55-74 years,0,,#DIV/0!
Bermuda,2012,male,75+ years,0,,#DIV/0!
Bermuda,2013,female,15-24 years,0,,#DIV/0!
Bermuda,2013,female,25-34 years,0,,#DIV/0!
Bermuda,2013,female,35-54 years,0,,#DIV/0!
Bermuda,2013,female,5-14 years,0,,#DIV/0!
Bermuda,2013,female,55-74 years,0,,#DIV/0!
Bermuda,2013,female,75+ years,0,,#DIV/0!
Bermuda,2013,male,15-24 years,0,,#DIV/0!
Bermuda,2013,male,25-34 years,0,,#DIV/0!
Bermuda,2013,male,35-54 years,0,,#DIV/0!
Bermuda,2013,male,5-14 years,0,,#DIV/0!
Bermuda,2013,male,55-74 years,0,,#DIV/0!
Bermuda,2013,male,75+ years,0,,#DIV/0!
Bermuda,2014,female,15-24 years,0,,#DIV/0!
Bermuda,2014,female,25-34 years,0,,#DIV/0!
Bermuda,2014,female,35-54 years,0,,#DIV/0!
Bermuda,2014,female,5-14 years,0,,#DIV/0!
Bermuda,2014,female,55-74 years,0,,#DIV/0!
Bermuda,2014,female,75+ years,0,,#DIV/0!
Bermuda,2014,male,15-24 years,0,,#DIV/0!
Bermuda,2014,male,25-34 years,0,,#DIV/0!
Bermuda,2014,male,35-54 years,1,,#DIV/0!
Bermuda,2014,male,5-14 years,0,,#DIV/0!
Bermuda,2014,male,55-74 years,0,,#DIV/0!
Bermuda,2014,male,75+ years,0,,#DIV/0!
Bermuda,2015,female,15-24 years,0,,#DIV/0!
Bermuda,2015,female,25-34 years,0,,#DIV/0!
Bermuda,2015,female,35-54 years,0,,#DIV/0!
Bermuda,2015,female,5-14 years,0,,#DIV/0!
Bermuda,2015,female,55-74 years,0,,#DIV/0!
Bermuda,2015,female,75+ years,0,,#DIV/0!
Bermuda,2015,male,15-24 years,0,,#DIV/0!
Bermuda,2015,male,25-34 years,0,,#DIV/0!
Bermuda,2015,male,35-54 years,0,,#DIV/0!
Bermuda,2015,male,5-14 years,0,,#DIV/0!
Bermuda,2015,male,55-74 years,0,,#DIV/0!
Bermuda,2015,male,75+ years,0,,#DIV/0!
Bolivia,2000,female,15-24 years,1,,#DIV/0!
Bolivia,2000,female,25-34 years,1,,#DIV/0!
Bolivia,2000,female,35-54 years,1,,#DIV/0!
Bolivia,2000,female,5-14 years,0,,#DIV/0!
Bolivia,2000,female,55-74 years,0,,#DIV/0!
Bolivia,2000,female,75+ years,0,,#DIV/0!
Bolivia,2000,male,15-24 years,2,,#DIV/0!
Bolivia,2000,male,25-34 years,2,,#DIV/0!
Bolivia,2000,male,35-54 years,3,,#DIV/0!
Bolivia,2000,male,5-14 years,0,,#DIV/0!
Bolivia,2000,male,55-74 years,0,,#DIV/0!
Bolivia,2000,male,75+ years,1,,#DIV/0!
Bolivia,2001,female,15-24 years,0,,#DIV/0!
Bolivia,2001,female,25-34 years,0,,#DIV/0!
Bolivia,2001,female,35-54 years,0,,#DIV/0!
Bolivia,2001,female,5-14 years,0,,#DIV/0!
Bolivia,2001,female,55-74 years,0,,#DIV/0!
Bolivia,2001,female,75+ years,0,,#DIV/0!
Bolivia,2001,male,15-24 years,1,,#DIV/0!
Bolivia,2001,male,25-34 years,3,,#DIV/0!
Bolivia,2001,male,35-54 years,3,,#DIV/0!
Bolivia,2001,male,5-14 years,0,,#DIV/0!
Bolivia,2001,male,55-74 years,1,,#DIV/0!
Bolivia,2001,male,75+ years,0,,#DIV/0!
Bolivia,2002,female,15-24 years,1,,#DIV/0!
Bolivia,2002,female,25-34 years,0,,#DIV/0!
Bolivia,2002,female,35-54 years,3,,#DIV/0!
Bolivia,2002,female,5-14 years,0,,#DIV/0!
Bolivia,2002,female,55-74 years,2,,#DIV/0!
Bolivia,2002,female,75+ years,0,,#DIV/0!
Bolivia,2002,male,15-24 years,3,,#DIV/0!
Bolivia,2002,male,25-34 years,4,,#DIV/0!
Bolivia,2002,male,35-54 years,3,,#DIV/0!
Bolivia,2002,male,5-14 years,0,,#DIV/0!
Bolivia,2002,male,55-74 years,2,,#DIV/0!
Bolivia,2002,male,75+ years,0,,#DIV/0!
Bolivia,2003,female,15-24 years,1,,#DIV/0!
Bolivia,2003,female,25-34 years,1,,#DIV/0!
Bolivia,2003,female,35-54 years,5,,#DIV/0!
Bolivia,2003,female,5-14 years,0,,#DIV/0!
Bolivia,2003,female,55-74 years,1,,#DIV/0!
Bolivia,2003,female,75+ years,0,,#DIV/0!
Bolivia,2003,male,15-24 years,4,,#DIV/0!
Bolivia,2003,male,25-34 years,0,,#DIV/0!
Bolivia,2003,male,35-54 years,4,,#DIV/0!
Bolivia,2003,male,5-14 years,0,,#DIV/0!
Bolivia,2003,male,55-74 years,1,,#DIV/0!
Bolivia,2003,male,75+ years,0,,#DIV/0!
Bosnia and Herzegovina,1985,female,15-24 years,21,404200,5.20E-05
Bosnia and Herzegovina,1985,female,25-34 years,12,351400,3.41E-05
Bosnia and Herzegovina,1985,female,35-54 years,32,514800,6.22E-05
Bosnia and Herzegovina,1985,female,5-14 years,7,364800,1.92E-05
Bosnia and Herzegovina,1985,female,55-74 years,16,284300,5.63E-05
Bosnia and Herzegovina,1985,female,75+ years,10,54900,0.000182149
Bosnia and Herzegovina,1985,male,15-24 years,65,428600,0.000151657
Bosnia and Herzegovina,1985,male,25-34 years,80,377400,0.000211977
Bosnia and Herzegovina,1985,male,35-54 years,109,511900,0.000212932
Bosnia and Herzegovina,1985,male,5-14 years,16,380800,4.20E-05
Bosnia and Herzegovina,1985,male,55-74 years,48,211900,0.000226522
Bosnia and Herzegovina,1985,male,75+ years,17,39900,0.000426065
Bosnia and Herzegovina,1986,female,15-24 years,22,398900,5.52E-05
Bosnia and Herzegovina,1986,female,25-34 years,17,361800,4.70E-05
Bosnia and Herzegovina,1986,female,35-54 years,37,520400,7.11E-05
Bosnia and Herzegovina,1986,female,5-14 years,8,364600,2.19E-05
Bosnia and Herzegovina,1986,female,55-74 years,27,292300,9.24E-05
Bosnia and Herzegovina,1986,female,75+ years,9,57700,0.000155979
Bosnia and Herzegovina,1986,male,15-24 years,62,416700,0.000148788
Bosnia and Herzegovina,1986,male,25-34 years,98,389900,0.000251346
Bosnia and Herzegovina,1986,male,35-54 years,124,514500,0.000241011
Bosnia and Herzegovina,1986,male,5-14 years,18,380800,4.73E-05
Bosnia and Herzegovina,1986,male,55-74 years,61,223700,0.000272687
Bosnia and Herzegovina,1986,male,75+ years,17,40600,0.000418719
Bosnia and Herzegovina,1987,female,15-24 years,18,392100,4.59E-05
Bosnia and Herzegovina,1987,female,25-34 years,20,375300,5.33E-05
Bosnia and Herzegovina,1987,female,35-54 years,31,524000,5.92E-05
Bosnia and Herzegovina,1987,female,5-14 years,9,363300,2.48E-05
Bosnia and Herzegovina,1987,female,55-74 years,33,301100,0.000109598
Bosnia and Herzegovina,1987,female,75+ years,11,58300,0.000188679
Bosnia and Herzegovina,1987,male,15-24 years,52,409800,0.000126891
Bosnia and Herzegovina,1987,male,25-34 years,70,404400,0.000173096
Bosnia and Herzegovina,1987,male,35-54 years,136,520800,0.000261137
Bosnia and Herzegovina,1987,male,5-14 years,21,379500,5.53E-05
Bosnia and Herzegovina,1987,male,55-74 years,58,235300,0.000246494
Bosnia and Herzegovina,1987,male,75+ years,20,40400,0.00049505
Bosnia and Herzegovina,1988,female,15-24 years,15,385700,3.89E-05
Bosnia and Herzegovina,1988,female,25-34 years,9,379900,2.37E-05
Bosnia and Herzegovina,1988,female,35-54 years,37,533900,6.93E-05
Bosnia and Herzegovina,1988,female,5-14 years,10,362400,2.76E-05
Bosnia and Herzegovina,1988,female,55-74 years,19,310700,6.12E-05
Bosnia and Herzegovina,1988,female,75+ years,5,60400,8.28E-05
Bosnia and Herzegovina,1988,male,15-24 years,41,404100,0.00010146
Bosnia and Herzegovina,1988,male,25-34 years,73,409100,0.00017844
Bosnia and Herzegovina,1988,male,35-54 years,130,532200,0.000244269
Bosnia and Herzegovina,1988,male,5-14 years,16,378100,4.23E-05
Bosnia and Herzegovina,1988,male,55-74 years,61,247200,0.000246764
Bosnia and Herzegovina,1988,male,75+ years,12,40700,0.00029484
Bosnia and Herzegovina,1989,female,15-24 years,15,380200,3.95E-05
Bosnia and Herzegovina,1989,female,25-34 years,14,387700,3.61E-05
Bosnia and Herzegovina,1989,female,35-54 years,31,539400,5.75E-05
Bosnia and Herzegovina,1989,female,5-14 years,4,361500,1.11E-05
Bosnia and Herzegovina,1989,female,55-74 years,17,322500,5.27E-05
Bosnia and Herzegovina,1989,female,75+ years,5,61000,8.20E-05
Bosnia and Herzegovina,1989,male,15-24 years,60,397800,0.00015083
Bosnia and Herzegovina,1989,male,25-34 years,71,416700,0.000170386
Bosnia and Herzegovina,1989,male,35-54 years,120,539900,0.000222263
Bosnia and Herzegovina,1989,male,5-14 years,10,377100,2.65E-05
Bosnia and Herzegovina,1989,male,55-74 years,82,260200,0.000315142
Bosnia and Herzegovina,1989,male,75+ years,11,40400,0.000272277
Bosnia and Herzegovina,1990,female,15-24 years,11,376400,2.92E-05
Bosnia and Herzegovina,1990,female,25-34 years,15,391700,3.83E-05
Bosnia and Herzegovina,1990,female,35-54 years,31,547800,5.66E-05
Bosnia and Herzegovina,1990,female,5-14 years,5,360900,1.39E-05
Bosnia and Herzegovina,1990,female,55-74 years,20,333400,6.00E-05
Bosnia and Herzegovina,1990,female,75+ years,5,62800,7.96E-05
Bosnia and Herzegovina,1990,male,15-24 years,65,393900,0.000165017
Bosnia and Herzegovina,1990,male,25-34 years,101,419300,0.000240878
Bosnia and Herzegovina,1990,male,35-54 years,111,550800,0.000201525
Bosnia and Herzegovina,1990,male,5-14 years,18,376600,4.78E-05
Bosnia and Herzegovina,1990,male,55-74 years,69,273800,0.000252009
Bosnia and Herzegovina,1990,male,75+ years,11,40100,0.000274314
Bosnia and Herzegovina,1991,female,15-24 years,16,379600,4.21E-05
Bosnia and Herzegovina,1991,female,25-34 years,11,395000,2.78E-05
Bosnia and Herzegovina,1991,female,35-54 years,20,552700,3.62E-05
Bosnia and Herzegovina,1991,female,5-14 years,4,364000,1.10E-05
Bosnia and Herzegovina,1991,female,55-74 years,16,336400,4.76E-05
Bosnia and Herzegovina,1991,female,75+ years,7,63100,0.000110935
Bosnia and Herzegovina,1991,male,15-24 years,98,396800,0.000246976
Bosnia and Herzegovina,1991,male,25-34 years,151,421700,0.000358074
Bosnia and Herzegovina,1991,male,35-54 years,124,556900,0.000222661
Bosnia and Herzegovina,1991,male,5-14 years,15,379100,3.96E-05
Bosnia and Herzegovina,1991,male,55-74 years,55,277200,0.000198413
Bosnia and Herzegovina,1991,male,75+ years,14,42800,0.000327103
Bosnia and Herzegovina,2010,female,15-24 years,,273197,0
Bosnia and Herzegovina,2010,female,25-34 years,,256293,0
Bosnia and Herzegovina,2010,female,35-54 years,,554468,0
Bosnia and Herzegovina,2010,female,5-14 years,,247195,0
Bosnia and Herzegovina,2010,female,55-74 years,,437374,0
Bosnia and Herzegovina,2010,female,75+ years,,116058,0
Bosnia and Herzegovina,2010,male,15-24 years,,291167,0
Bosnia and Herzegovina,2010,male,25-34 years,,252966,0
Bosnia and Herzegovina,2010,male,35-54 years,,549673,0
Bosnia and Herzegovina,2010,male,5-14 years,,257192,0
Bosnia and Herzegovina,2010,male,55-74 years,,363671,0
Bosnia and Herzegovina,2010,male,75+ years,,77301,0
Bosnia and Herzegovina,2011,female,15-24 years,0,272956,0
Bosnia and Herzegovina,2011,female,25-34 years,0,256067,0
Bosnia and Herzegovina,2011,female,35-54 years,0,553980,0
Bosnia and Herzegovina,2011,female,5-14 years,0,246977,0
Bosnia and Herzegovina,2011,female,55-74 years,0,436988,0
Bosnia and Herzegovina,2011,female,75+ years,0,115955,0
Bosnia and Herzegovina,2011,male,15-24 years,0,290910,0
Bosnia and Herzegovina,2011,male,25-34 years,1,252743,3.96E-06
Bosnia and Herzegovina,2011,male,35-54 years,2,549187,3.64E-06
Bosnia and Herzegovina,2011,male,5-14 years,0,256966,0
Bosnia and Herzegovina,2011,male,55-74 years,2,363350,5.50E-06
Bosnia and Herzegovina,2011,male,75+ years,0,77233,0
Bosnia and Herzegovina,2012,female,15-24 years,,251515,0
Bosnia and Herzegovina,2012,female,25-34 years,,234773,0
Bosnia and Herzegovina,2012,female,35-54 years,,555689,0
Bosnia and Herzegovina,2012,female,5-14 years,,228428,0
Bosnia and Herzegovina,2012,female,55-74 years,,459436,0
Bosnia and Herzegovina,2012,female,75+ years,,142129,0
Bosnia and Herzegovina,2012,male,15-24 years,,274917,0
Bosnia and Herzegovina,2012,male,25-34 years,,253140,0
Bosnia and Herzegovina,2012,male,35-54 years,,535774,0
Bosnia and Herzegovina,2012,male,5-14 years,,228029,0
Bosnia and Herzegovina,2012,male,55-74 years,,402514,0
Bosnia and Herzegovina,2012,male,75+ years,,96450,0
Bosnia and Herzegovina,2014,female,15-24 years,2,250924,7.97E-06
Bosnia and Herzegovina,2014,female,25-34 years,3,234219,1.28E-05
Bosnia and Herzegovina,2014,female,35-54 years,28,554379,5.05E-05
Bosnia and Herzegovina,2014,female,5-14 years,0,227892,0
Bosnia and Herzegovina,2014,female,55-74 years,23,458353,5.02E-05
Bosnia and Herzegovina,2014,female,75+ years,14,141795,9.87E-05
Bosnia and Herzegovina,2014,male,15-24 years,6,274269,2.19E-05
Bosnia and Herzegovina,2014,male,25-34 years,19,252546,7.52E-05
Bosnia and Herzegovina,2014,male,35-54 years,96,534512,0.000179603
Bosnia and Herzegovina,2014,male,5-14 years,1,227491,4.40E-06
Bosnia and Herzegovina,2014,male,55-74 years,84,401567,0.000209181
Bosnia and Herzegovina,2014,male,75+ years,37,96222,0.000384527
Brazil,1979,female,15-24 years,385,12448100,3.09E-05
Brazil,1979,female,25-34 years,227,8867900,2.56E-05
Brazil,1979,female,35-54 years,269,10282200,2.62E-05
Brazil,1979,female,5-14 years,47,14135000,3.33E-06
Brazil,1979,female,55-74 years,121,4678800,2.59E-05
Brazil,1979,female,75+ years,25,790700,3.16E-05
Brazil,1979,male,15-24 years,568,12533100,4.53E-05
Brazil,1979,male,25-34 years,583,8875800,6.57E-05
Brazil,1979,male,35-54 years,784,10234300,7.66E-05
Brazil,1979,male,5-14 years,26,14238600,1.83E-06
Brazil,1979,male,55-74 years,358,4446200,8.05E-05
Brazil,1979,male,75+ years,66,675400,9.77E-05
Brazil,1980,female,15-24 years,410,12735900,3.22E-05
Brazil,1980,female,25-34 years,234,9073000,2.58E-05
Brazil,1980,female,35-54 years,347,10520000,3.30E-05
Brazil,1980,female,5-14 years,34,14461800,2.35E-06
Brazil,1980,female,55-74 years,124,4787000,2.59E-05
Brazil,1980,female,75+ years,25,809000,3.09E-05
Brazil,1980,male,15-24 years,597,12822900,4.66E-05
Brazil,1980,male,25-34 years,658,9081000,7.25E-05
Brazil,1980,male,35-54 years,836,10471000,7.98E-05
Brazil,1980,male,5-14 years,26,14567800,1.78E-06
Brazil,1980,male,55-74 years,468,4549000,0.00010288
Brazil,1980,male,75+ years,105,691000,0.000151954
Brazil,1981,female,15-24 years,439,13028200,3.37E-05
Brazil,1981,female,25-34 years,261,9281200,2.81E-05
Brazil,1981,female,35-54 years,283,10761400,2.63E-05
Brazil,1981,female,5-14 years,37,14793700,2.50E-06
Brazil,1981,female,55-74 years,139,4896800,2.84E-05
Brazil,1981,female,75+ years,26,827600,3.14E-05
Brazil,1981,male,15-24 years,729,13117100,5.56E-05
Brazil,1981,male,25-34 years,722,9289400,7.77E-05
Brazil,1981,male,35-54 years,884,10711300,8.25E-05
Brazil,1981,male,5-14 years,37,14902200,2.48E-06
Brazil,1981,male,55-74 years,380,4653300,8.17E-05
Brazil,1981,male,75+ years,92,706900,0.000130146
Brazil,1982,female,15-24 years,374,13324800,2.81E-05
Brazil,1982,female,25-34 years,246,9492600,2.59E-05
Brazil,1982,female,35-54 years,264,11006400,2.40E-05
Brazil,1982,female,5-14 years,41,15130500,2.71E-06
Brazil,1982,female,55-74 years,114,5008300,2.28E-05
Brazil,1982,female,75+ years,29,846400,3.43E-05
Brazil,1982,male,15-24 years,675,13415800,5.03E-05
Brazil,1982,male,25-34 years,731,9500900,7.69E-05
Brazil,1982,male,35-54 years,876,10955300,8.00E-05
Brazil,1982,male,5-14 years,30,15241400,1.97E-06
Brazil,1982,male,55-74 years,417,4759300,8.76E-05
Brazil,1982,male,75+ years,100,723000,0.000138313
Brazil,1983,female,15-24 years,435,13162600,3.30E-05
Brazil,1983,female,25-34 years,272,10336100,2.63E-05
Brazil,1983,female,35-54 years,318,11663100,2.73E-05
Brazil,1983,female,5-14 years,41,14953600,2.74E-06
Brazil,1983,female,55-74 years,182,5408000,3.37E-05
Brazil,1983,female,75+ years,34,944900,3.60E-05
Brazil,1983,male,15-24 years,715,13241400,5.40E-05
Brazil,1983,male,25-34 years,775,10301800,7.52E-05
Brazil,1983,male,35-54 years,1090,11472800,9.50E-05
Brazil,1983,male,5-14 years,37,15021400,2.46E-06
Brazil,1983,male,55-74 years,572,5135000,0.000111392
Brazil,1983,male,75+ years,91,804300,0.000113142
Brazil,1984,female,15-24 years,346,13456000,2.57E-05
Brazil,1984,female,25-34 years,233,10566400,2.21E-05
Brazil,1984,female,35-54 years,344,11923200,2.89E-05
Brazil,1984,female,5-14 years,43,15286800,2.81E-06
Brazil,1984,female,55-74 years,168,5528500,3.04E-05
Brazil,1984,female,75+ years,19,966900,1.97E-05
Brazil,1984,male,15-24 years,681,13536400,5.03E-05
Brazil,1984,male,25-34 years,814,10531400,7.73E-05
Brazil,1984,male,35-54 years,1082,11728400,9.23E-05
Brazil,1984,male,5-14 years,27,15356200,1.76E-06
Brazil,1984,male,55-74 years,523,5249500,9.96E-05
Brazil,1984,male,75+ years,120,822200,0.00014595
Brazil,1985,female,15-24 years,280,13751800,2.04E-05
Brazil,1985,female,25-34 years,269,10798700,2.49E-05
Brazil,1985,female,35-54 years,296,12185200,2.43E-05
Brazil,1985,female,5-14 years,41,15622900,2.62E-06
Brazil,1985,female,55-74 years,148,5650100,2.62E-05
Brazil,1985,female,75+ years,32,988100,3.24E-05
Brazil,1985,male,15-24 years,661,13834000,4.78E-05
Brazil,1985,male,25-34 years,791,10762900,7.35E-05
Brazil,1985,male,35-54 years,1011,11986300,8.43E-05
Brazil,1985,male,5-14 years,35,15693700,2.23E-06
Brazil,1985,male,55-74 years,535,5364900,9.97E-05
Brazil,1985,male,75+ years,129,840300,0.000153517
Brazil,1986,female,15-24 years,331,13514000,2.45E-05
Brazil,1986,female,25-34 years,257,10614200,2.42E-05
Brazil,1986,female,35-54 years,335,13195700,2.54E-05
Brazil,1986,female,5-14 years,35,16001200,2.19E-06
Brazil,1986,female,55-74 years,163,6093600,2.67E-05
Brazil,1986,female,75+ years,33,1079400,3.06E-05
Brazil,1986,male,15-24 years,685,13347500,5.13E-05
Brazil,1986,male,25-34 years,754,9895200,7.62E-05
Brazil,1986,male,35-54 years,967,12396000,7.80E-05
Brazil,1986,male,5-14 years,27,16323800,1.65E-06
Brazil,1986,male,55-74 years,581,5492100,0.000105788
Brazil,1986,male,75+ years,103,823700,0.000125046
Brazil,1987,female,15-24 years,291,14145640,2.06E-05
Brazil,1987,female,25-34 years,266,11393405,2.33E-05
Brazil,1987,female,35-54 years,349,13229129,2.64E-05
Brazil,1987,female,5-14 years,32,16390962,1.95E-06
Brazil,1987,female,55-74 years,197,5891414,3.34E-05
Brazil,1987,female,75+ years,28,1018461,2.75E-05
Brazil,1987,male,15-24 years,713,14119488,5.05E-05
Brazil,1987,male,25-34 years,865,11266240,7.68E-05
Brazil,1987,male,35-54 years,1100,12796733,8.60E-05
Brazil,1987,male,5-14 years,35,16751806,2.09E-06
Brazil,1987,male,55-74 years,647,5163568,0.000125301
Brazil,1987,male,75+ years,149,655621,0.000227265
Brazil,1988,female,15-24 years,281,14267683,1.97E-05
Brazil,1988,female,25-34 years,266,11741737,2.27E-05
Brazil,1988,female,35-54 years,333,13714531,2.43E-05
Brazil,1988,female,5-14 years,25,16712381,1.50E-06
Brazil,1988,female,55-74 years,182,6051315,3.01E-05
Brazil,1988,female,75+ years,52,1057285,4.92E-05
Brazil,1988,male,15-24 years,663,14249735,4.65E-05
Brazil,1988,male,25-34 years,849,11593305,7.32E-05
Brazil,1988,male,35-54 years,1115,13244446,8.42E-05
Brazil,1988,male,5-14 years,35,17111833,2.05E-06
Brazil,1988,male,55-74 years,530,5281479,0.000100351
Brazil,1988,male,75+ years,135,675564,0.000199833
Brazil,1989,female,15-24 years,261,14396938,1.81E-05
Brazil,1989,female,25-34 years,247,12077302,2.05E-05
Brazil,1989,female,35-54 years,318,14212092,2.24E-05
Brazil,1989,female,5-14 years,35,17011362,2.06E-06
Brazil,1989,female,55-74 years,166,6229420,2.66E-05
Brazil,1989,female,75+ years,44,1090428,4.04E-05
Brazil,1989,male,15-24 years,722,14394322,5.02E-05
Brazil,1989,male,25-34 years,891,11906533,7.48E-05
Brazil,1989,male,35-54 years,1067,13704169,7.79E-05
Brazil,1989,male,5-14 years,28,17445679,1.60E-06
Brazil,1989,male,55-74 years,543,5415199,0.000100273
Brazil,1989,male,75+ years,141,686864,0.000205281
Brazil,1990,female,15-24 years,304,14548740,2.09E-05
Brazil,1990,female,25-34 years,250,12392001,2.02E-05
Brazil,1990,female,35-54 years,394,14711203,2.68E-05
Brazil,1990,female,5-14 years,32,17265236,1.85E-06
Brazil,1990,female,55-74 years,196,6431086,3.05E-05
Brazil,1990,female,75+ years,38,1117615,3.40E-05
Brazil,1990,male,15-24 years,731,14568361,5.02E-05
Brazil,1990,male,25-34 years,945,12198761,7.75E-05
Brazil,1990,male,35-54 years,1127,14165486,7.96E-05
Brazil,1990,male,5-14 years,34,17729894,1.92E-06
Brazil,1990,male,55-74 years,601,5570146,0.000107897
Brazil,1990,male,75+ years,151,689024,0.000219151
Brazil,1991,female,15-24 years,303,14737389,2.06E-05
Brazil,1991,female,25-34 years,266,12700804,2.09E-05
Brazil,1991,female,35-54 years,331,15218376,2.18E-05
Brazil,1991,female,5-14 years,35,17496257,2.00E-06
Brazil,1991,female,55-74 years,222,6630160,3.35E-05
Brazil,1991,female,75+ years,38,1172662,3.24E-05
Brazil,1991,male,15-24 years,771,14774615,5.22E-05
Brazil,1991,male,25-34 years,1002,12481850,8.03E-05
Brazil,1991,male,35-54 years,1334,14626951,9.12E-05
Brazil,1991,male,5-14 years,41,17989977,2.28E-06
Brazil,1991,male,55-74 years,660,5727704,0.000115229
Brazil,1991,male,75+ years,153,725105,0.000211004
Brazil,1992,female,15-24 years,283,14937179,1.89E-05
Brazil,1992,female,25-34 years,262,12985784,2.02E-05
Brazil,1992,female,35-54 years,391,15718299,2.49E-05
Brazil,1992,female,5-14 years,36,17651310,2.04E-06
Brazil,1992,female,55-74 years,166,6848963,2.42E-05
Brazil,1992,female,75+ years,36,1221291,2.95E-05
Brazil,1992,male,15-24 years,816,14998739,5.44E-05
Brazil,1992,male,25-34 years,981,12740352,7.70E-05
